epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,392.99,1.43695,1.24763,1.32683,0.65808,0.73614,0.70501,0.32473,1.62768,1.2463,1.54299,0.007525,0.007525,0.007525
22,410.845,1.46187,1.25209,1.34709,0.62343,0.76552,0.70677,0.38322,1.43672,1.14772,1.36903,0.00729725,0.00729725,0.00729725
23,429.099,1.42958,1.22873,1.32118,0.56354,0.71976,0.63429,0.2874,1.70216,1.2234,1.53579,0.00706335,0.00706335,0.00706335
24,447.781,1.45374,1.24634,1.34659,0.61997,0.64384,0.67348,0.34495,1.54327,1.19252,1.44695,0.00682392,0.00682392,0.00682392
25,466.511,1.42422,1.22115,1.33572,0.61489,0.71178,0.71969,0.35121,1.62195,1.22377,1.49136,0.00657963,0.00657963,0.00657963
26,485.25,1.41124,1.1699,1.32137,0.64659,0.69208,0.68508,0.36201,1.54102,1.13352,1.43403,0.00633115,0.00633115,0.00633115
27,503.901,1.40303,1.17735,1.33162,0.45665,0.78548,0.65822,0.3732,1.46016,1.25377,1.40326,0.00607916,0.00607916,0.00607916
28,522.098,1.37441,1.16837,1.28914,0.61679,0.7376,0.69005,0.36553,1.5023,1.15892,1.42122,0.00582435,0.00582435,0.00582435
29,540.69,1.40907,1.16204,1.30454,0.65262,0.75707,0.71037,0.37465,1.49694,1.09848,1.41426,0.00556742,0.00556742,0.00556742
30,560.033,1.40402,1.15204,1.31221,0.61256,0.80514,0.71213,0.38053,1.49128,1.11156,1.39006,0.00530906,0.00530906,0.00530906
31,579.146,1.41188,1.1461,1.30351,0.63648,0.78464,0.71673,0.36711,1.60569,1.07385,1.45635,0.00505,0.00505,0.00505
32,598.679,1.38388,1.10411,1.28936,0.65562,0.76279,0.73423,0.38989,1.56612,1.06277,1.43958,0.00479094,0.00479094,0.00479094
33,617.36,1.40207,1.12764,1.30177,0.67868,0.77173,0.72795,0.37799,1.53913,1.05571,1.42154,0.00453258,0.00453258,0.00453258
34,635.996,1.35463,1.0711,1.27537,0.63845,0.75695,0.72676,0.38486,1.52839,1.08421,1.41679,0.00427565,0.00427565,0.00427565
35,654.8,1.3856,1.07812,1.30757,0.60982,0.77027,0.71146,0.39081,1.43797,1.05377,1.37229,0.00402084,0.00402084,0.00402084
36,673.452,1.40259,1.08666,1.28468,0.70042,0.78105,0.79036,0.43613,1.48717,1.02016,1.37744,0.00376885,0.00376885,0.00376885
37,690.957,1.36231,1.04883,1.2863,0.65976,0.78881,0.76385,0.37556,1.6081,1.04015,1.46606,0.00352037,0.00352037,0.00352037
38,708.894,1.36095,1.04589,1.27897,0.6605,0.75573,0.74993,0.38659,1.57428,1.02154,1.43343,0.00327608,0.00327608,0.00327608
39,727.937,1.33417,1.02232,1.25824,0.67775,0.78814,0.79014,0.42685,1.53549,0.97499,1.41774,0.00303665,0.00303665,0.00303665
40,747.316,1.33761,1.02002,1.26724,0.66263,0.78105,0.75253,0.41153,1.51503,1.00987,1.39814,0.00280275,0.00280275,0.00280275
41,766.398,1.31999,0.96935,1.24536,0.67488,0.7895,0.77942,0.42692,1.5037,0.99475,1.39167,0.002575,0.002575,0.002575
42,785.049,1.31,0.97306,1.25168,0.65609,0.78588,0.74315,0.38519,1.59578,0.99925,1.45138,0.00235404,0.00235404,0.00235404
43,803.88,1.31979,1.00827,1.24699,0.63103,0.8427,0.75548,0.38225,1.58002,1.03825,1.45464,0.00214046,0.00214046,0.00214046
44,823.526,1.30599,0.95976,1.24531,0.68452,0.79737,0.75488,0.40019,1.51082,0.9517,1.40627,0.00193486,0.00193486,0.00193486
45,843,1.2938,0.94589,1.24004,0.67305,0.77378,0.79928,0.39791,1.65711,1.01563,1.49772,0.0017378,0.0017378,0.0017378
46,860.962,1.28297,0.98324,1.24551,0.72363,0.76201,0.79335,0.43238,1.51492,0.93387,1.38694,0.00154982,0.00154982,0.00154982
47,878.928,1.29184,0.95853,1.23985,0.65029,0.87441,0.80545,0.44328,1.4912,0.91746,1.38617,0.00137143,0.00137143,0.00137143
48,896.855,1.27727,0.9211,1.24413,0.6758,0.76066,0.78163,0.42335,1.5047,0.93035,1.40037,0.00120313,0.00120313,0.00120313
49,914.621,1.25142,0.92575,1.22998,0.75957,0.74374,0.79799,0.43202,1.50897,0.92877,1.39255,0.00104537,0.00104537,0.00104537
50,932.529,1.27234,0.89072,1.22994,0.77514,0.72451,0.79755,0.42123,1.54909,0.92195,1.42314,0.000898581,0.000898581,0.000898581
51,949.45,1.21765,0.88974,1.23582,0.76964,0.73597,0.78862,0.42268,1.51862,0.94068,1.40096,0.000763174,0.000763174,0.000763174
52,966.477,1.21971,0.8403,1.23966,0.76669,0.70887,0.80134,0.44522,1.50843,0.92556,1.39107,0.000639518,0.000639518,0.000639518
53,984.323,1.23022,0.85185,1.24102,0.79434,0.7149,0.79657,0.42409,1.54122,0.93568,1.41521,0.00052795,0.00052795,0.00052795
54,1002.28,1.20371,0.81924,1.21196,0.74428,0.76784,0.79512,0.44508,1.4708,0.91644,1.3691,0.000428777,0.000428777,0.000428777
55,1020.35,1.22531,0.82436,1.23164,0.74338,0.7646,0.81019,0.45849,1.45435,0.90201,1.35539,0.00034227,0.00034227,0.00034227
56,1038.26,1.2022,0.81052,1.20902,0.74061,0.74322,0.7987,0.45226,1.47625,0.91759,1.36709,0.000268667,0.000268667,0.000268667
57,1056.5,1.18821,0.79182,1.20956,0.74021,0.72193,0.79454,0.4415,1.45845,0.92143,1.3567,0.000208169,0.000208169,0.000208169
58,1074.72,1.19388,0.79571,1.21287,0.7325,0.73712,0.78101,0.43695,1.43125,0.92279,1.34323,0.000160943,0.000160943,0.000160943
59,1092.63,1.19559,0.77993,1.2098,0.72698,0.75138,0.78739,0.44461,1.42715,0.90949,1.34286,0.000127117,0.000127117,0.000127117
60,1109.55,1.19171,0.78092,1.20794,0.73655,0.72451,0.78246,0.44633,1.41887,0.90517,1.33791,0.000106784,0.000106784,0.000106784
