epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6106,1.77363,2.29208,1.47916,0.23636,0.4021,0.2226,0.10117,1.67512,2.77595,1.48836,0.00331111,0.00331111,0.0702
2,38.3544,1.78243,2.04287,1.54361,0.17527,0.30943,0.16498,0.07415,1.83491,2.80016,1.66426,0.00663994,0.00663994,0.0401955
3,57.5587,1.74814,1.95661,1.56205,0.71963,0.32561,0.29254,0.14296,1.70628,3.49812,1.61144,0.00995072,0.00995072,0.0101729
4,76.3549,1.74773,1.95948,1.55707,0.28012,0.519,0.34503,0.17903,1.66585,2.18869,1.58396,0.00993906,0.00993906,0.00993906
5,94.8956,1.65436,1.73282,1.45651,0.39495,0.46636,0.4046,0.19095,1.6862,1.95106,1.54542,0.00989183,0.00989183,0.00989183
6,113.526,1.70396,1.71798,1.51119,0.51471,0.51216,0.48378,0.25639,1.62411,2.9388,1.52228,0.00983133,0.00983133,0.00983133
7,131.661,1.63547,1.68959,1.48956,0.51658,0.56951,0.51117,0.25794,1.55898,1.7348,1.47247,0.00975773,0.00975773,0.00975773
8,149.439,1.5879,1.63909,1.43859,0.46864,0.5548,0.49023,0.23779,1.65052,1.62158,1.54848,0.00967122,0.00967122,0.00967122
9,167.505,1.55322,1.56037,1.44361,0.52607,0.62685,0.59154,0.31489,1.57301,1.46399,1.52485,0.00957205,0.00957205,0.00957205
10,185.734,1.54076,1.51615,1.4402,0.58215,0.60681,0.59247,0.31044,1.53663,1.51479,1.47635,0.00946048,0.00946048,0.00946048
11,203.481,1.55944,1.45504,1.41154,0.55068,0.57414,0.59741,0.31653,1.54422,1.38028,1.44329,0.00933683,0.00933683,0.00933683
12,221.201,1.58588,1.4988,1.45499,0.5635,0.60749,0.61145,0.30022,1.60322,1.63533,1.49461,0.00920142,0.00920142,0.00920142
13,238.983,1.51569,1.47178,1.43569,0.45345,0.71386,0.64195,0.31005,1.60476,1.35368,1.47788,0.00905463,0.00905463,0.00905463
14,257.202,1.54211,1.45814,1.40299,0.5461,0.70772,0.60079,0.31057,1.52797,1.33987,1.46424,0.00889687,0.00889687,0.00889687
15,275.672,1.48198,1.3841,1.35731,0.57931,0.53082,0.56609,0.30286,1.51335,1.33145,1.44152,0.00872857,0.00872857,0.00872857
16,301.533,1.47513,1.38448,1.36992,0.56636,0.66445,0.66293,0.32054,1.59955,1.31116,1.50757,0.00855018,0.00855018,0.00855018
17,319.906,1.50401,1.31997,1.38567,0.57832,0.69937,0.67115,0.38019,1.4055,1.19559,1.36335,0.0083622,0.0083622,0.0083622
18,338.055,1.46747,1.34886,1.35341,0.54217,0.72347,0.65244,0.3341,1.56485,1.29206,1.43891,0.00816514,0.00816514,0.00816514
19,356.925,1.47998,1.31979,1.34482,0.54344,0.76309,0.66685,0.37133,1.48262,1.23436,1.40323,0.00795954,0.00795954,0.00795954
20,375.313,1.46381,1.32058,1.36315,0.62166,0.73369,0.68656,0.37111,1.52589,1.16261,1.43525,0.00774596,0.00774596,0.00774596
